date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/29,2330,美商高盛,1480,2228,211,2017,8.62,1,buy
12/29,2330,摩根大通,8440,862,1347,-485,2.07,2,sell
12/29,2330,凱基,9200,674,26,648,2.77,8,buy
12/29,2330,美林,1440,768,296,472,2.02,12,buy
12/29,2330,凱基-台北,9268,1042,625,417,1.78,13,buy
12/29,2454,台灣摩根士丹利,1470,86,733,-647,9.7,1,sell
12/29,2454,摩根大通,8440,79,483,-404,6.06,2,sell
12/29,2454,美林,1440,166,454,-288,4.32,3,sell
12/29,2454,凱基,9200,222,5,217,3.25,4,buy
12/29,2454,凱基-台北,9268,380,597,-217,3.25,4,sell
12/29,2454,新加坡商瑞銀,1650,135,344,-209,3.13,5,sell
12/29,2454,美商高盛,1480,219,350,-131,1.96,7,sell
12/29,2317,新加坡商瑞銀,1650,4783,1880,2903,5.01,1,buy
12/29,2317,美商高盛,1480,5428,3092,2336,4.03,2,buy
12/29,2317,摩根大通,8440,1989,71,1918,3.31,3,buy
12/29,2317,凱基,9200,1767,427,1340,2.31,8,buy
